event_id,timestamp,user_id,instrument,direction,lot_size,trade_volume_usd,margin_used_pct,pnl,trade_duration_sec,ip_address,is_anomaly,anomaly_type
TE_022928,2025-01-01 08:01:47,user_0476,NZD/USD,buy,0.07,7000.0,16.2,81.34,512.6,103.4.44.33,1,consistent_profit
TE_014269,2025-01-01 08:02:50,user_0368,EUR/GBP,buy,0.4,40000.0,9.5,31.95,22.7,94.56.229.178,0,
TE_021532,2025-01-01 08:03:08,user_0496,EUR/USD,buy,0.29,29000.0,11.3,0.04,63.7,103.21.39.79,1,ip_hub|large_withdrawal_dormant|rapid_kyc_withdrawal
TE_007350,2025-01-01 08:03:16,user_0222,USD/CHF,buy,0.71,71000.0,6.4,7.74,4903.9,94.56.14.50,0,
TE_001872,2025-01-01 08:03:26,user_0062,EUR/USD,sell,0.05,5000.0,56.5,0.17,164.6,210.171.193.106,0,
TE_012474,2025-01-01 08:05:33,user_0348,USD/JPY,buy,0.26,26000.0,11.1,14.73,39.9,103.4.78.135,0,
TE_012475,2025-01-01 08:05:46,user_0348,USD/JPY,buy,0.37,37000.0,51.7,-41.68,8.3,103.4.78.135,0,
TE_013172,2025-01-01 08:17:37,user_0209,GBP/USD,sell,0.22,22000.0,61.1,-2.07,909.8,85.214.190.16,0,
TE_025397,2025-01-01 08:22:57,user_0161,USD/CAD,sell,0.03,3000.0,8.3,-0.56,265.6,210.171.217.123,0,
TE_003129,2025-01-01 08:26:59,user_0078,EUR/USD,buy,0.08,8000.0,28.6,-5.53,64.9,81.2.170.171,0,
TE_013123,2025-01-01 08:30:44,user_0354,EUR/GBP,sell,0.05,5000.0,52.7,-1.82,632.9,81.2.149.200,0,
TE_005076,2025-01-01 08:33:29,user_0478,AUD/USD,buy,0.26,26000.0,9.2,-14.29,411.1,103.4.139.179,1,single_instrument|volume_spike
TE_002733,2025-01-01 08:44:16,user_0158,USD/CAD,buy,0.02,2000.0,63.7,1.17,26.1,103.21.188.84,0,
TE_003941,2025-01-01 08:52:17,user_0456,USD/CHF,buy,0.68,68000.0,58.1,-11.64,32.4,64.18.223.8,1,device_mismatch
TE_011175,2025-01-01 09:00:41,user_0440,EUR/GBP,buy,0.23,23000.0,35.4,-6.6,107.0,64.18.35.75,1,brute_force_login|collusion_ring|device_switching
TE_004456,2025-01-01 09:02:30,user_0268,GBP/USD,sell,0.36,36000.0,62.9,-38.99,107.9,81.2.172.54,0,
TE_021531,2025-01-01 09:04:03,user_0496,EUR/GBP,buy,0.19,19000.0,15.0,11.95,818.0,103.21.39.79,1,ip_hub|large_withdrawal_dormant|rapid_kyc_withdrawal
TE_021529,2025-01-01 09:05:25,user_0496,GBP/USD,sell,0.24,24000.0,12.0,8.61,276.2,103.21.39.79,1,ip_hub|large_withdrawal_dormant|rapid_kyc_withdrawal
TE_020937,2025-01-01 09:06:25,user_0199,USD/CHF,sell,0.52,52000.0,41.5,8.15,24044.8,210.171.110.76,0,
TE_024512,2025-01-01 09:18:25,user_0287,GBP/USD,sell,0.2,20000.0,54.4,-8.08,70.2,81.2.135.196,0,
TE_007781,2025-01-01 09:23:23,user_0295,EUR/GBP,buy,0.19,19000.0,13.7,3.67,61.4,81.2.66.7,0,
TE_017279,2025-01-01 09:30:45,user_0331,AUD/USD,buy,0.3,30000.0,48.1,13.62,55.2,72.34.140.226,0,
TE_010275,2025-01-01 09:38:43,user_0126,EUR/GBP,buy,0.04,4000.0,42.5,-2.54,267.6,72.34.245.221,0,
TE_000033,2025-01-01 09:39:07,user_0223,USD/CHF,buy,0.18,18000.0,42.7,8.16,10.0,72.34.26.181,0,
TE_008767,2025-01-01 09:41:39,user_0452,EUR/GBP,sell,0.02,2000.0,34.3,1.36,160.0,72.34.84.132,1,structuring
TE_011650,2025-01-01 09:42:24,user_0119,GBP/USD,buy,0.71,71000.0,62.4,-70.52,8.4,85.214.162.200,0,
TE_022379,2025-01-01 09:44:36,user_0165,USD/CHF,sell,0.15,15000.0,35.8,10.68,42.4,94.56.19.74,0,
TE_015852,2025-01-01 09:45:12,user_0405,NZD/USD,buy,0.06,6000.0,63.1,-2.78,434.6,94.56.31.252,0,
TE_013121,2025-01-01 09:51:26,user_0354,USD/CHF,sell,0.06,6000.0,26.7,3.95,330.7,81.2.149.200,0,
TE_000849,2025-01-01 09:59:21,user_0131,AUD/USD,buy,0.87,87000.0,39.3,-1.43,36.9,81.2.49.210,0,
TE_020440,2025-01-01 09:59:25,user_0281,EUR/GBP,buy,0.55,55000.0,31.6,31.41,1020.5,72.34.69.62,0,
TE_020795,2025-01-01 10:04:39,user_0355,EUR/GBP,sell,0.22,22000.0,5.6,2.71,550.7,210.171.219.121,0,
TE_000034,2025-01-01 10:14:22,user_0223,USD/CAD,sell,0.12,12000.0,40.3,-7.38,198.8,72.34.26.181,0,
TE_003943,2025-01-01 10:22:45,user_0456,EUR/USD,sell,0.78,78000.0,29.1,-48.71,315.1,64.18.223.8,1,device_mismatch
TE_006603,2025-01-01 10:25:03,user_0032,AUD/USD,sell,0.27,27000.0,47.3,-4.21,1463.2,94.56.21.195,0,
TE_025544,2025-01-01 10:26:36,user_0080,USD/CAD,buy,0.25,25000.0,53.9,-15.05,85.1,210.171.236.201,0,
TE_016117,2025-01-01 10:28:24,user_0137,EUR/USD,sell,0.63,63000.0,39.2,55.38,8.6,94.56.110.151,0,
TE_007351,2025-01-01 10:29:48,user_0222,USD/CHF,buy,0.26,26000.0,15.0,10.74,285.8,94.56.14.50,0,
TE_015251,2025-01-01 10:29:51,user_0067,USD/CHF,sell,0.17,17000.0,6.0,1.99,214.5,103.4.114.89,0,
TE_009261,2025-01-01 10:31:06,user_0472,USD/CHF,sell,0.28,28000.0,13.4,8.39,163.3,210.171.84.107,1,deposit_withdraw_abuse|large_withdrawal_dormant
TE_010775,2025-01-01 10:34:12,user_0108,NZD/USD,sell,0.01,1000.0,37.7,0.17,41.7,72.34.22.188,0,
TE_002734,2025-01-01 10:39:29,user_0158,USD/CAD,sell,0.02,2000.0,13.0,1.36,95.0,103.21.188.84,0,
TE_015521,2025-01-01 10:40:35,user_0218,EUR/USD,sell,0.77,77000.0,40.3,9.94,57.3,85.214.116.52,0,
TE_006555,2025-01-01 10:47:59,user_0110,EUR/USD,sell,0.09,9000.0,12.6,5.77,22.1,103.21.21.101,0,
TE_022795,2025-01-01 10:50:40,user_0370,AUD/USD,sell,0.22,22000.0,40.9,-26.9,230.3,85.214.59.106,0,
TE_012824,2025-01-01 10:52:17,user_0178,EUR/GBP,sell,0.33,33000.0,8.3,-11.28,871.8,85.214.173.133,0,
TE_010598,2025-01-01 10:54:02,user_0242,USD/JPY,buy,0.16,16000.0,30.5,-8.78,171.5,103.4.153.81,0,
TE_026643,2025-01-01 10:56:31,user_0174,EUR/USD,buy,0.38,38000.0,26.2,5.39,43.0,103.4.23.65,0,
TE_002731,2025-01-01 10:58:18,user_0158,USD/CAD,buy,0.02,2000.0,25.0,1.68,1217.1,103.21.188.84,0,
TE_016282,2025-01-01 10:58:20,user_0332,USD/JPY,sell,0.24,24000.0,28.7,-6.53,37.6,94.56.173.22,0,
TE_002643,2025-01-01 10:59:06,user_0044,USD/CAD,sell,0.03,3000.0,44.3,1.74,857.6,94.56.177.118,0,
TE_016957,2025-01-01 11:02:08,user_0070,AUD/USD,buy,0.83,83000.0,40.3,11.31,94.8,85.214.17.22,0,
TE_000910,2025-01-01 11:03:16,user_0004,USD/JPY,buy,0.65,65000.0,13.6,-10.02,169.5,210.171.183.200,0,
TE_000465,2025-01-01 11:05:35,user_0046,EUR/GBP,sell,0.76,76000.0,6.6,36.48,1792.2,103.4.127.177,0,
TE_015648,2025-01-01 11:13:50,user_0104,USD/CHF,sell,0.07,7000.0,40.6,-2.91,42.1,81.2.5.173,0,
TE_006734,2025-01-01 11:16:55,user_0030,EUR/USD,sell,0.44,44000.0,10.1,-8.25,17.4,72.34.63.30,0,
TE_006733,2025-01-01 11:20:22,user_0030,USD/CAD,sell,0.3,30000.0,10.2,0.07,109.5,72.34.63.30,0,
TE_002028,2025-01-01 11:26:35,user_0228,USD/JPY,sell,0.19,19000.0,14.4,0.08,522.1,81.2.196.47,0,
TE_012711,2025-01-01 11:26:35,user_0434,USD/CHF,sell,0.48,48000.0,14.6,-21.69,352.8,81.2.93.101,1,large_withdrawal_dormant
TE_006554,2025-01-01 11:29:24,user_0110,EUR/GBP,sell,0.15,15000.0,16.1,-8.27,173.8,103.21.21.101,0,
TE_026644,2025-01-01 11:36:22,user_0174,USD/CAD,sell,0.31,31000.0,26.3,9.02,49.8,103.4.23.65,0,
TE_021330,2025-01-01 11:37:37,user_0325,USD/CAD,buy,0.28,28000.0,6.6,5.16,493.6,81.2.135.8,0,
TE_020020,2025-01-01 11:39:53,user_0350,NZD/USD,sell,0.67,67000.0,23.5,3.49,151.2,103.21.7.77,0,
TE_007780,2025-01-01 11:41:48,user_0295,USD/CAD,buy,0.29,29000.0,31.7,1.88,27.1,81.2.66.7,0,
TE_005926,2025-01-01 11:42:36,user_0120,GBP/USD,buy,0.22,22000.0,46.5,-5.11,22.2,94.56.169.28,0,
TE_015523,2025-01-01 11:43:52,user_0218,EUR/USD,buy,0.62,62000.0,62.1,-44.83,17.5,85.214.116.52,0,
TE_000271,2025-01-01 11:52:22,user_0460,GBP/USD,sell,0.5,50000.0,26.0,41.35,43.2,94.56.211.234,1,volume_spike
TE_016163,2025-01-01 11:58:10,user_0297,AUD/USD,buy,0.34,34000.0,36.4,3.63,75.9,85.214.37.153,0,
TE_008765,2025-01-01 11:58:33,user_0452,USD/CHF,buy,0.03,3000.0,32.9,3.93,67.1,72.34.84.132,1,structuring
TE_010274,2025-01-01 12:05:00,user_0126,GBP/USD,sell,0.03,3000.0,36.5,1.52,45.6,72.34.245.221,0,
TE_003707,2025-01-01 12:05:50,user_0391,EUR/USD,sell,0.33,33000.0,20.9,-2.37,899.0,81.2.64.234,0,
TE_006325,2025-01-01 12:06:56,user_0466,USD/CAD,buy,0.43,43000.0,31.2,22.4,124.9,85.214.183.118,1,rapid_kyc_withdrawal|single_instrument
TE_000035,2025-01-01 12:08:41,user_0223,USD/CAD,buy,0.18,18000.0,21.2,-1.69,48.2,72.34.26.181,0,
TE_019460,2025-01-01 12:12:43,user_0376,GBP/USD,sell,0.28,28000.0,5.5,20.78,731.2,103.21.59.82,0,
TE_003128,2025-01-01 12:15:18,user_0078,USD/JPY,buy,0.08,8000.0,15.5,2.0,69.2,81.2.170.171,0,
TE_022796,2025-01-01 12:22:31,user_0370,AUD/USD,buy,0.17,17000.0,18.2,-4.9,183.4,85.214.59.106,0,
TE_004975,2025-01-01 12:32:53,user_0463,AUD/USD,sell,0.37,37000.0,23.3,31.36,1131.4,210.171.1.141,1,rapid_kyc_withdrawal
TE_003127,2025-01-01 12:36:41,user_0078,NZD/USD,sell,0.1,10000.0,11.7,1.65,7.9,81.2.170.171,0,
TE_020796,2025-01-01 12:37:10,user_0355,USD/CAD,buy,0.5,50000.0,19.7,-5.87,26.7,210.171.219.121,0,
TE_013124,2025-01-01 12:41:21,user_0354,EUR/GBP,buy,0.05,5000.0,59.6,-0.67,70.1,81.2.149.200,0,
TE_000500,2025-01-01 12:42:01,user_0454,GBP/USD,sell,0.63,63000.0,21.4,26.38,94.1,81.2.47.242,1,bot_behavior
TE_000851,2025-01-01 12:45:31,user_0131,AUD/USD,sell,0.66,66000.0,64.3,27.54,8.6,81.2.49.210,0,
TE_026642,2025-01-01 12:50:06,user_0174,GBP/USD,sell,0.6,60000.0,12.9,22.85,105.9,103.4.23.65,0,
TE_010806,2025-01-01 12:53:31,user_0422,NZD/USD,sell,0.34,34000.0,39.7,-2.45,589.7,81.2.109.104,0,
TE_020441,2025-01-01 12:55:02,user_0281,AUD/USD,buy,0.21,21000.0,26.8,-1.34,318.0,72.34.32.187,0,
